"ID","project_type","performance_tier","cost","mobility","reliability","connect","multimodal","assetmngmt","saftey","airclimate","cultenv","social_equity","land_compat","goods_move","emp_access","fiNaNl_score"
"placeholder","q",1,4580000,100,100,35,60,100,57,100,68,100,75,100,100,74
"MID-01","Bike",1,4580000,100,NaN,35,60,NaN,57,100,68,100,75,NaN,100,74
"GW-380","Bike",4,5210000,23,NaN,68,70,NaN,74,4,63,0,25,NaN,100,50
"ADID-02","Ped",1,6150000,100,NaN,100,30,NaN,58,73,50,0,100,NaN,100,70
"HOL-01","Ped",4,3090000,23,NaN,40,0,NaN,10,4,50,0,0,NaN,100,24
"DK-414-1","Ped",4,5680000,54,NaN,100,30,NaN,27,19,50,100,50,NaN,100,60
"DK-414-2","Ped",4,5680000,54,NaN,100,30,NaN,27,19,50,100,50,NaN,100,60
"DK-414-3","Ped",4,5680000,54,NaN,100,30,NaN,27,19,50,100,50,NaN,100,60
"DK-441","Ped",1,5340000,46,NaN,100,70,NaN,48,100,55,0,50,NaN,100,63
"FAI-01","Ped",3,4600000,38,NaN,100,93,NaN,67,27,38,0,50,NaN,100,62
"COS-01","Ped",3,7800000,100,NaN,100,30,NaN,66,100,5,100,50,NaN,100,74
"FS-287","Ped",2,330000,33,NaN,100,30,NaN,18,45,50,100,50,NaN,100,57
"DAL-02","Ped",2,250000,26,NaN,40,0,NaN,33,7,50,0,0,NaN,100,28
"CL-01","Road Asset",3,5010000,74,NaN,66,50,32,25,NaN,40,100,NaN,50,100,58
"CL-267","Road Asset",3,5810000,33,NaN,66,50,53,50,NaN,62,100,NaN,50,100,60
"3-Mar","Road Asset",3,4170000,40,NaN,0,100,56,0,NaN,62,100,NaN,0,100,48
"DO-300","Road Asset",1,630000,28,NaN,66,0,52,0,NaN,50,0,NaN,50,100,37
"FA-02-1","Road Asset",3,590000,8,NaN,33,0,95,50,NaN,26,100,NaN,0,100,47
"FA-02-10","Road Asset",4,580000,5,NaN,33,0,77,50,NaN,38,0,NaN,0,100,36
"FA-02-11","Road Asset",3,940000,23,NaN,66,0,57,50,NaN,0,0,NaN,0,100,38
"FA-02-2","Road Asset",1,270000,18,NaN,33,0,90,50,NaN,37,0,NaN,0,100,40
"FA-02-3","Road Asset",2,260000,9,NaN,33,0,79,50,NaN,41,0,NaN,0,0,27
"FA-02-4","Road Asset",4,2010000,31,NaN,66,0,58,50,NaN,28,0,NaN,0,0,30
"FA-02-5","Road Asset",4,3040000,36,NaN,66,0,68,50,NaN,24,0,NaN,0,0,32
"FA-02-6","Road Asset",1,600000,39,NaN,66,0,51,50,NaN,31,0,NaN,0,100,41
"FA-02-7","Road Asset",1,230000,45,NaN,33,0,50,50,NaN,46,0,NaN,50,100,42
"FA-02-8","Road Asset",4,570000,14,NaN,33,0,59,50,NaN,35,0,NaN,0,0,24
"FA-02-9","Road Asset",2,430000,26,NaN,66,0,79,50,NaN,39,0,NaN,0,0,33
"JOH-05","Road Asset",2,2000000,94,NaN,66,0,18,50,NaN,26,0,NaN,50,0,37
"GW-PVT1","Road Asset",1,2300000,100,NaN,66,0,62,0,NaN,24,0,NaN,50,100,47
"GW-PVT2-1","Road Asset",1,1500000,100,NaN,66,0,60,0,NaN,37,0,NaN,0,100,43
"GW-PVT2-2","Road Asset",1,1500000,100,NaN,66,0,60,0,NaN,37,0,NaN,0,100,43
"GW-PVT3","Road Asset",2,800000,58,NaN,33,0,43,0,NaN,39,0,NaN,0,100,31
"GW-PVT4","Road Asset",2,950000,36,NaN,66,0,69,0,NaN,22,0,NaN,0,0,25
"GW-PVT5","Road Asset",2,1000000,53,NaN,66,0,46,0,NaN,44,0,NaN,0,100,35
"NE-106","Road Asset",3,6660000,46,NaN,66,50,100,0,NaN,61,0,NaN,50,0,43
"NE-107","Road Asset",4,4550000,42,NaN,66,0,69,25,NaN,75,0,NaN,50,0,36
"CCID01","Road Expansion",2,20570000,14,100,0,0,NaN,13,0,41,0,NaN,0,73,25
"CO-450B","Road Expansion",1,31160000,70,0,100,100,NaN,38,82,49,0,NaN,0,84,55
"NEWNaNN-01","Road Expansion",3,52200000,24,30,0,62,NaN,55,31,48,100,NaN,0,65,40
"EAS-01","Road Expansion",3,6330000,11,55,0,9,NaN,21,35,48,100,NaN,100,70,39
"FT-001F","Road Expansion",1,17500000,31,76,0,20,NaN,67,43,43,0,NaN,100,62,44
"AR-ML-020","Road Expansion",3,40100000,86,14,0,0,NaN,14,0,50,100,NaN,100,97,42
"AR-ML-025","Road Expansion",1,29190000,50,42,0,0,NaN,41,100,50,0,NaN,100,50,40
"AR-ML-210","Road Expansion",2,33400000,50,64,0,0,NaN,17,0,0,100,NaN,0,100,34
"AR-ML-240","Road Expansion",2,42720000,50,55,0,0,NaN,20,0,30,100,NaN,0,100,35
"GW-269","Road Expansion",1,39310000,100,100,0,100,NaN,37,46,33,0,NaN,100,100,65
"GW-389","Road Expansion",2,15200000,9,0,0,0,NaN,25,35,50,0,NaN,100,74,25
"GW-EVM1","Road Expansion",2,11600000,19,0,100,4,NaN,38,25,46,0,NaN,100,22,35
"GW-KH","Road Expansion",1,20000000,69,45,0,0,NaN,29,58,45,100,NaN,0,33,35
"HE-005","Road Expansion",1,21940000,51,31,0,62,NaN,41,71,55,100,NaN,100,57,52
"HE-109","Road Expansion",2,7000000,15,0,100,33,NaN,25,45,65,0,NaN,0,23,31
"HE-126 B","Road Expansion",3,18000000,36,32,0,45,NaN,88,30,52,0,NaN,100,64,45
"HE-137","Road Expansion",4,39000000,32,23,0,38,NaN,26,37,47,0,NaN,0,23,22
"HE-161A","Road Expansion",4,32980000,36,33,0,68,NaN,29,38,64,0,NaN,0,63,33
"HE-193","Road Expansion",4,23700000,11,26,0,42,NaN,27,27,68,0,NaN,0,12,20
"PA-036B","Road Expansion",4,38850000,4,3,0,19,NaN,47,25,34,0,NaN,0,15,15
"RO 235E1","Road Expansion",3,27310000,8,53,0,50,NaN,60,37,58,0,NaN,100,68,42
"RO 243","Road Expansion",4,21750000,5,0,100,16,NaN,13,31,54,0,NaN,0,70,29
"RO-235D","Road Expansion",3,28300000,26,25,0,71,NaN,65,31,71,100,NaN,100,70,51
"Atlanta-03","Road Operations",3,18000000,49,44,100,0,NaN,36,0,48,100,NaN,0,100,49
"CHE-01","Road Operations",3,4500000,30,95,100,0,NaN,75,0,50,0,NaN,100,0,48
"CHE-02","Road Operations",3,5800000,48,38,100,0,NaN,72,38,50,0,NaN,100,0,46
"CHE-03","Road Operations",3,4690000,41,49,100,0,NaN,75,38,50,0,NaN,100,0,47
"Brookhaven-04a","Road Operations",1,2600000,70,84,100,30,NaN,44,34,50,0,NaN,0,0,46
"Brookhaven-04b","Road Operations",4,8240000,25,57,100,30,NaN,49,27,49,0,NaN,0,0,37
"Brookhaven-08","Road Operations",4,1920000,47,97,100,48,NaN,38,28,50,0,NaN,0,0,45
"Brookhaven-10","Road Operations",4,7600000,33,62,100,46,NaN,51,28,48,0,NaN,0,0,41
"DK-065B","Road Operations",1,22180000,76,55,100,100,NaN,48,100,53,100,NaN,0,100,74
"DK-344C-1","Road Operations",1,3200000,69,50,100,0,NaN,49,100,51,100,NaN,100,100,69
"DK-344C-2","Road Operations",1,3200000,69,50,100,0,NaN,49,100,51,100,NaN,100,100,69
"DK-344C-3","Road Operations",1,3200000,69,50,100,0,NaN,49,100,51,100,NaN,100,100,69
"DUN-01","Road Operations",2,4600000,92,100,0,50,NaN,67,43,49,0,NaN,0,0,44
"FN-287","Road Operations",4,16000000,41,53,100,0,NaN,31,33,47,0,NaN,100,0,41
"FN-288A","Road Operations",4,7000000,30,48,100,32,NaN,30,28,49,0,NaN,100,0,42
"FT-335","Road Operations",4,1400000,4,17,100,0,NaN,21,25,50,0,NaN,100,0,30
"GW-CVEH","Road Operations",1,2850000,75,47,100,0,NaN,40,100,0,0,NaN,100,100,59
"GW-ITS1-1","Road Operations",1,4890000,66,35,100,0,NaN,13,100,36,100,NaN,100,100,61
"GW-ITS1-2","Road Operations",1,4890000,66,35,100,0,NaN,13,100,36,100,NaN,100,100,61
"GW-ITS1-3","Road Operations",1,4890000,66,35,100,0,NaN,13,100,36,100,NaN,100,100,61
"GW-ITS1-4","Road Operations",1,4890000,66,35,100,0,NaN,13,100,36,100,NaN,100,100,61
"GW-ITS1-5","Road Operations",1,4890000,66,35,100,0,NaN,13,100,36,100,NaN,100,100,61
"GW-ITS1-6","Road Operations",1,4890000,66,35,100,0,NaN,13,100,36,100,NaN,100,100,61
"GW-ITS1-7","Road Operations",1,4890000,66,35,100,0,NaN,13,100,36,100,NaN,100,100,61
"GW-ITS3-1","Road Operations",1,5930000,59,3,100,0,NaN,25,100,36,100,NaN,100,100,58
"GW-ITS3-2","Road Operations",1,5930000,59,3,100,0,NaN,25,100,36,100,NaN,100,100,58
"GW-ITS3-3","Road Operations",1,5930000,59,3,100,0,NaN,25,100,36,100,NaN,100,100,58
"GW-ITS3-4","Road Operations",1,5930000,59,3,100,0,NaN,25,100,36,100,NaN,100,100,58
"GW-ITS3-5","Road Operations",1,5930000,59,3,100,0,NaN,25,100,36,100,NaN,100,100,58
"GW-ITS3-6","Road Operations",1,5930000,59,3,100,0,NaN,25,100,36,100,NaN,100,100,58
"NE-105","Road Operations",3,5760000,8,12,100,0,NaN,88,0,50,0,NaN,100,100,47
"GRI-02","Road Operations",4,2400000,6,24,0,0,NaN,39,25,55,0,NaN,0,0,14
"SP-067A","Road Operations",4,12840000,7,26,100,0,NaN,2,25,46,100,NaN,100,100,46
"AR-550","Transit Asset",3,4250000,54,NaN,NaN,NaN,67,100,NaN,0,0,NaN,NaN,100,60
"GRTA-003","Transit Asset",2,2500000,90,NaN,NaN,NaN,0,100,NaN,0,0,NaN,NaN,100,52
"GRTA-004","Transit Asset",2,8000000,90,NaN,NaN,NaN,0,100,NaN,0,0,NaN,NaN,100,52
"GRTA-006","Transit Asset",3,8250000,33,NaN,NaN,NaN,13,100,NaN,30,100,NaN,NaN,100,60
"GW-PNR","Transit Asset",3,2000000,33,NaN,NaN,NaN,86,0,NaN,25,100,NaN,NaN,100,63
"M-AR-274B2","Transit Asset",1,5500000,17,NaN,NaN,NaN,69,0,100,0,100,NaN,NaN,100,58
"MARTA-02","Transit Asset",2,4700000,59,NaN,NaN,NaN,50,0,NaN,60,100,NaN,NaN,100,63
"CO-702","Transit Expansion",3,6800000,100,16,100,0,NaN,0,100,0,100,25,NaN,50,53
"DO-01","Transit Expansion",4,8000000,14,13,67,50,NaN,0,16,46,100,25,NaN,62,40
"GRTA-002","Transit Expansion",3,5880000,9,52,67,0,NaN,100,6,42,100,25,NaN,67,47
"GRTA-005","Transit Expansion",3,8250000,1,50,67,50,NaN,100,0,65,0,0,NaN,100,43
"GW-BUS1","Transit Expansion",1,5040000,64,13,100,25,NaN,0,58,62,100,50,NaN,88,58
"GW-BUS2","Transit Expansion",1,3210000,64,13,100,25,NaN,0,58,47,100,50,NaN,88,57
"GW-BUS3","Transit Expansion",4,4590000,26,25,33,25,NaN,0,29,47,100,50,NaN,83,42
"MARTA-04","Transit Expansion",3,45000000,100,71,67,0,NaN,100,100,48,100,25,NaN,73,69
"MARTA-05-1","Transit Expansion",2,4810000,18,30,33,0,NaN,0,7,48,100,0,NaN,73,31
"MARTA-05-10","Transit Expansion",4,2480000,0,25,33,0,NaN,0,0,49,100,0,NaN,68,27
"MARTA-05-11","Transit Expansion",4,1380000,1,13,67,0,NaN,0,0,48,100,75,NaN,72,38
"MARTA-05-12","Transit Expansion",2,1210000,11,13,67,0,NaN,0,10,49,100,75,NaN,81,41
